"DayOfWeekStr","starttime","endtime","PermitLocation","optionaltext","ColdTruck","Applicant","Location"
"Thursday","12PM","1PM","Assessors Block 3941/Lot001","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.764741322675,-122.387124812179)"
"Thursday","7PM","8PM","Assessors Block 3941/Lot001","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.764741322675,-122.387124812179)"
"Thursday","6AM","7AM","Assessors Block 4644/Lot008","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7309061503597,-122.373302577485)"
"Thursday","10AM","11AM","Assessors Block 4644/Lot008","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7309061503597,-122.373302577485)"
"Thursday","11AM","12PM","Assessors Block 4644/Lot008","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7309061503597,-122.373302577485)"
"Thursday","6AM","7AM","Assessors Block 4755/Lot049","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7263829321822,-122.378434782668)"
"Thursday","10AM","11AM","Assessors Block 4755/Lot049","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7263829321822,-122.378434782668)"
"Thursday","11AM","12PM","Assessors Block 4755/Lot049","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7263829321822,-122.378434782668)"
"Thursday","3PM","4PM","Assessors Block 4058/Lot010","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7611829945051,-122.388118704077)"
"Thursday","11AM","2PM","Assessors Block 4058/Lot010","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7611829945051,-122.388118704077)"
"Thursday","3PM","4PM","Assessors Block 4058/Lot010","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7611829945051,-122.388118704077)"
"Thursday","9AM","11AM","860 BROADWAY","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks","Y","Mike's Catering","(37.7973946460656,-122.411309805654)"
"Thursday","10PM","3AM","1155 FOLSOM ST","Hot dogs, chips, soda, corn on the cob, french fries","N","Sinthya's Hot Dogs","(37.7757301903637,-122.409029971059)"
"Thursday","11AM","3PM","180 NEW MONTGOMERY ST","Tacos, burritos, quesadillas","N","Plaza Garibaldy","(37.7863630776208,-122.399264358097)"
"Thursday","11AM","3PM","345 CALIFORNIA ST","Sandwiches","N","Bomba","(37.7930875932608,-122.400475568028)"
"Thursday","7AM","4PM","235 15TH ST","100% Grass fed beef hot dogs, wellshire bacon wrapped hot dogs, beef & heirloom pork spicy link, smoked pork bratwurst, organic chicken apple sausage, Irish breakfast rolls, sandwiches, various sides (fries, potato salad, coleslaw, salad) & ice cream.","N","Mr. Nice, LLC","(37.7672981863691,-122.40314102991)"
"Thursday","11AM","4PM","337 VALENCIA ST","Falafel Sandwiches, Fries, Soda, Iced Tea & Various Drinks.","N","La Falafel","(37.7674971328296,-122.422067389717)"
"Thursday","9AM","3PM","536 MISSION ST","Peruvian Chinese Food. Lomo Saltado, Arroz Con Pollo, Tipa Kay, Yuca Fries","N","Peruchi Food Truck,LLC","(37.7891642752786,-122.398430483219)"
"Thursday","10AM","7PM","600 FRONT ST","Bacon burger, bacon grilled cheese, bacon sandwiches, bacon tacos, bacon fries, bacon strips, bacon caramel corn","N","Bacon Bacon","(37.7969615325232,-122.399444500759)"
"Thursday","6AM","5PM","150 CALIFORNIA ST","Expresso drinks, assorted beverages (canned, bottled, home made), scones, croissants, bagels, soup, chili, parfaits, smoothies, frappes, milk shakes.","N","Expresso Subito, LLC.","(37.7934866365953,-122.398217219171)"
"Thursday","6PM","8PM","Assessors Block 8711/Lot021","Italian subs, Cuban sandwich, Gyro","N","Subs on Hubs","(37.7714019465879,-122.391771646847)"
"Thursday","5PM","8PM","561 MISSION ST","Indian Style: BBQ, Variety of Curries, Rice, Wraps, Breads (Naan, Rotis, Parathas), Desserts, Pizza.  Beverages, Condiments, Indian Soups, Salads & Appetizer Varieties.","","Bombay Blvd.","(37.7885445211484,-122.399019231479)"
"Tuesday","11AM","9PM","97 01ST ST","smoked sausages, deer, wild boar, pheasant, buffalo, beef, turkey, coleslaw, vegetarian baked beans","N","Missing Link SF","(37.7898310241126,-122.397562684622)"
"Tuesday","8AM","4PM","525 MARKET ST","Hot Indian Chai","N","The Chai Cart","(37.7904940956493,-122.399633341677)"
"Tuesday","11AM","3PM","1 SANSOME ST","Tacos, burritos, quesadillas, soda & water","N","Tacos Rodriguez","(37.7902665460329,-122.400629258559)"
"Tuesday","8AM","8PM","1275 EVANS AVE","Tacos, burritos, quesadillas, soda & water","N","Tacos Rodriguez","(37.7394652718683,-122.382463242698)"
"Tuesday","10AM","11AM","716 TEHAMA ST","Cold Truck: sandwiches, drinks, snacks, candy, hot coffee","Y","Sun Rise Catering","(37.7756072968774,-122.411404019951)"
"Tuesday","10AM","11AM","1075 LE CONTE AVE","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7190820167404,-122.398093320211)"
"Tuesday","10AM","11AM","444 TOWNSEND ST","Cold Truck: Hot/Cold Sandwiches, Water, Soda, Juice, Snacks, Milk, Candies, Canned Food, Soups, Cup of Noodles, Fruit, Salad","Y","F & C Catering","(37.7745761256077,-122.398261747293)"
"Tuesday","12PM","1PM","299 ILLINOIS ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering",NA
"Tuesday","10AM","11AM","1500 WALLACE AVE","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7264916637361,-122.389253644975)"
"Tuesday","10AM","11AM","301 EXECUTIVE PARK BLVD","Cold Truck: Pre-packaged Sandwiches, Various Beverages, Salads, Snacks","Y","Golden Catering","(37.7111428086172,-122.390768390822)"
"Tuesday","10AM","11AM","500 16TH ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7669552085597,-122.389155218908)"
"Tuesday","10AM","11AM","2525 MARIN ST","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7481349335447,-122.402362570049)"
"Tuesday","10AM","11AM","164 14TH ST","Cold Truck: Soda,Chips,Candy, Cold/Hot Sandwiches, Donuts.  (Pitco Wholesale)","Y","John's Catering #5","(37.7685079333296,-122.417013921855)"
"Tuesday","1PM","2PM","3335 17TH ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7633319911646,-122.420235403432)"
"Tuesday","10AM","11AM","1785 EGBERT AVE","Cold Truck: Cheeseburgers, Burgers, Chicken Bake, Chili Dogs, Hot Dogs, Corn Dogs, Cup of Noodles, Egg Muffins, Tamales, Hot Sandwiches Quesadillas, Gatorade, Juice, Soda, Mikl, Coffee, Hot Cocoa, Hot Tea, Flan, Fruits, Fruit Salad, Yogurt, Candy, Chips,  Donuts, Cookies, Granola, Muffins & Various Drinks & Pre-Packaged Snacks.","Y","Bach Catering","(37.7266610348631,-122.39900250944)"
"Tuesday","10AM","11AM","900 MINNESOTA ST","Cold Truck: Hot/Cold Sandwiches, Water, Soda, Juice, Snacks, Milk, Candies, Canned Food, Soups, Cup of Noodles, Fruit, Salad","Y","F & C Catering","(37.7591086681241,-122.390400000543)"
"Tuesday","10AM","11AM","730 ELLIS ST","COLD TRUCK. Deli: bbq chicken skewer, Chinese spring roll, Chinese fried rice/noodle, fried chicken leg/wing, bbq chicken sandwich, chicken cheese burger, burrito, lumpia. Snack: sunflower seeds, muffins, chips, snickers, kit-kat, 10 types of chocolate. Drinks: Coke, 7-Up, Dr. Pepper, Pepsi, Redbull, Vitamin Water, Rockstar, Coconut Juice, Water. Hot drinks: coffee, tea.","Y","Mang Hang Catering","(37.7842243326515,-122.418244143414)"
"Tuesday","10AM","11AM","835 JAMESTOWN AVE","Cold Truck: Pre-packaged Sandwiches, Various Beverages, Salads, Snacks","Y","Golden Catering","(37.7166561002993,-122.390559039934)"
"Tuesday","9AM","10AM","931 PALOU AVE","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7267339112889,-122.378972003992)"
"Tuesday","10AM","11AM","1310 MINNESOTA ST","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks","Y","Mike's Catering","(37.7538342401608,-122.389912147781)"
"Tuesday","10AM","6PM","3055 23RD ST","Burritos, Giros, Tortas, Quesadillas, Tacos & Various Beverages","N","El Gallo Jiro","(37.754107828202,-122.413168445667)"
"Tuesday","11AM","12PM","3040 HARRISON ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7490358344714,-122.411623966472)"
"Tuesday","11AM","12PM","1265 THOMAS AVE","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7268101667412,-122.385055802573)"
"Tuesday","11AM","12PM","1000 EVANS AVE","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7365999870093,-122.377204056226)"
"Tuesday","11AM","1PM","409 ILLINOIS ST","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks","Y","Mike's Catering","(37.7667867792956,-122.388078331989)"
"Tuesday","11AM","5PM","1700 JERROLD AVE","Tacos, Burritos , Tortas, Quesadillas & Beverages","N","Tacos Santana","(37.7399293110874,-122.391283611001)"
"Tuesday","11AM","12PM","270 MASONIC AVE","Cold Truck: Soda,Chips,Candy, Cold/Hot Sandwiches, Donuts.  (Pitco Wholesale)","Y","John's Catering #5","(37.7790910539426,-122.44702105228)"
"Tuesday","11AM","12PM","2800 03RD ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7541031367651,-122.387962966002)"
"Tuesday","11AM","12PM","2301 HARRISON ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7603214583917,-122.412573240495)"
"Tuesday","12PM","10PM","260 TOWNSEND ST","Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water","N","Linda's Catering","(37.777844286068,-122.394123606062)"
"Tuesday","12PM","1PM","951 INDIANA ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.7584408101697,-122.391167953092)"
"Tuesday","12PM","1PM","1118 MISSION ST","COLD TRUCK. Deli: bbq chicken skewer, Chinese spring roll, Chinese fried rice/noodle, fried chicken leg/wing, bbq chicken sandwich, chicken cheese burger, burrito, lumpia. Snack: sunflower seeds, muffins, chips, snickers, kit-kat, 10 types of chocolate. Drinks: Coke, 7-Up, Dr. Pepper, Pepsi, Redbull, Vitamin Water, Rockstar, Coconut Juice, Water. Hot drinks: coffee, tea.","Y","Mang Hang Catering","(37.7789072614613,-122.411420115933)"
"Tuesday","12PM","1PM","950 HARRISON ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7782015384395,-122.402992686912)"
"Tuesday","3PM","6PM","1200 MISSISSIPPI ST","Cold Truck: sandwiches, corndogs, tacos, yogurt, snacks, candy, hot and cold drinks","Y","M M Catering","(37.7508581374316,-122.394102374471)"
"Tuesday","12PM","1PM","1255 22ND ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.757534443698,-122.394141190871)"
"Tuesday","12PM","1PM","500 FRANCISCO ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.8047323091815,-122.413488050797)"
"Tuesday","12PM","1PM","435 23RD ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7555059783625,-122.385220879126)"
"Tuesday","12PM","1PM","2900 GRIFFITH ST","Ice Cream, Pre-Packaged Chips, Candies, Bottled Water & Canned SODA","Y","Singh Brothers Ice Cream","(37.7169690643397,-122.389355637131)"
"Tuesday","12PM","1PM","535 MINNESOTA ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7637507401569,-122.390705976388)"
"Tuesday","12PM","1PM","400 ALEMANY BLVD","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7332557262018,-122.413998779197)"
"Tuesday","12PM","1PM","800 JAMESTOWN AVE","Ice Cream, Pre-Packaged Chips, Candies, Bottled Water & Canned SODA","Y","Singh Brothers Ice Cream","(37.7162121435373,-122.389968007493)"
"Tuesday","12PM","1PM","400 ALEMANY BLVD","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7332557262018,-122.413998779197)"
"Tuesday","9AM","11AM","1650 03RD ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.76833824373,-122.389400461508)"
"Tuesday","8AM","9AM","Assessors Block 4341/Lot001","Cold Truck: Corn Dogs, Noodle Soups, Candy, Pre-packaged Snacks, Sandwiches, Chips, Coffee, Tea, Various Beverages","Y","Mini Mobile Food Catering","(37.7489503634271,-122.401493189708)"
"Tuesday","2PM","3PM","166 WISCONSIN ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7653883456078,-122.39977571028)"
"Tuesday","3PM","4PM","2115 JENNINGS ST","Ice Cream, Pre-Packaged Chips, Candies, Bottled Water & Canned SODA","Y","Singh Brothers Ice Cream","(37.7269088991548,-122.388709328768)"
"Tuesday","3PM","4PM","1300 BRYANT ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7693786950827,-122.410988658263)"
"Tuesday","11AM","12PM","50 IVY ST","Cold Truck: Soda,Chips,Candy, Cold/Hot Sandwiches, Donuts.  (Pitco Wholesale)","Y","John's Catering #5","(37.7781283797338,-122.418652129997)"
"Tuesday","6AM","7AM","199 FREMONT ST","Cold Truck: sandwiches, drinks, snacks, candy, hot coffee","Y","Sun Rise Catering","(37.7892862133639,-122.395117913536)"
"Tuesday","7AM","8AM","2323 CESAR CHAVEZ ST","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks","Y","Mike's Catering","(37.7494702507258,-122.399927745604)"
"Tuesday","7AM","8AM","690 MISSION ST","COLD TRUCK. Deli: bbq chicken skewer, Chinese spring roll, Chinese fried rice/noodle, fried chicken leg/wing, bbq chicken sandwich, chicken cheese burger, burrito, lumpia. Snack: sunflower seeds, muffins, chips, snickers, kit-kat, 10 types of chocolate. Drinks: Coke, 7-Up, Dr. Pepper, Pepsi, Redbull, Vitamin Water, Rockstar, Coconut Juice, Water. Hot drinks: coffee, tea.","Y","Mang Hang Catering","(37.786447007962,-122.40187181337)"
"Tuesday","8PM","9PM","911 MINNA ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7746861812322,-122.415473420734)"
"Tuesday","8PM","9PM","661 HOWARD ST","Cold Truck: sandwiches, corndogs, tacos, yogurt, snacks, candy, hot and cold drinks","Y","M M Catering","(37.7856640823991,-122.399568868889)"
"Tuesday","8AM","9AM","840 BRANNAN ST","Cold Truck: Hot & Cold Sandwiches, Bagels, Burritos, Soups, Hot Dogs, Tacos, Pork Buns, BBQ Meat, Fruit, Various Beverages, Pasties, Pre-Packaged Snacks, Candy, Salads, Muffins, Scones, Brownies, Croissants, Energy Bars, Noodle Bowls","Y","Two G's Catering","(37.7725616893359,-122.404474023931)"
"Tuesday","8AM","9AM","2111 LANE ST","Cold Truck: Soft drinks, cup cakes, potato chips, cookies, gum, sandwiches (hot & cold), peanuts, muffins, coff (hot & cold), water, juice, yoplait, milk, orange juice, sunflower seeds, can foods, burritos, buscuits, chimichangas, rice krispies","Y","Quan Catering","(37.729095881394,-122.392369958155)"
"Tuesday","8AM","9AM","10 LOOMIS ST","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7437519273424,-122.403462463841)"
"Tuesday","8AM","9AM","1000 ILLINOIS ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7592586029513,-122.387508486641)"
"Tuesday","8AM","9AM","998 INDIANA ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.7578416291379,-122.391250489057)"
"Tuesday","8AM","9AM","151 MENDELL ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7427783617572,-122.383666155366)"
"Tuesday","10AM","11AM","617 BRYANT ST","Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water","N","Linda's Catering","(37.7792036135615,-122.398421700749)"
"Tuesday","8AM","9AM","1180 THOMAS AVE","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7260001319965,-122.383390817067)"
"Tuesday","8AM","9AM","1650 DAVIDSON AVE","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7462754843591,-122.392447441505)"
"Tuesday","11AM","12PM","500 SELBY ST","Cold Truck: Soft drinks, cup cakes, potato chips, cookies, gum, sandwiches (hot & cold), peanuts, muffins, coff (hot & cold), water, juice, yoplait, milk, orange juice, sunflower seeds, can foods, burritos, buscuits, chimichangas, rice krispies","Y","Quan Catering","(37.7442960182807,-122.395807199913)"
"Tuesday","8AM","9AM","1315 ARMSTRONG AVE","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.7231692072554,-122.38697483362)"
"Tuesday","8AM","9AM","888 MARIN ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7491830922641,-122.385380152928)"
"Tuesday","8AM","9AM","1300 HOWARD ST","Cold Truck: sandwiches, drinks, snacks, candy, hot coffee","Y","Sun Rise Catering","(37.7750209861951,-122.413222349168)"
"Tuesday","8AM","10AM","1555 BURKE AVE","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7444352289816,-122.386131058867)"
"Tuesday","1PM","4PM","340 BRANNAN ST","Seafood, meats and desserts","N","Fins on the Hoof / Saveurs","(37.7811636144171,-122.39303923437)"
"Tuesday","9AM","10AM","600 HARRISON ST","Cold Truck: Pre-packaged sandwiches, Burgers, Hot Dogs, Muffin Sandwiches, Enchiladas, Bagels, Burritos, Salads, Snacks, Beverages","Y","Steve's Mobile Deli","(37.7843370711132,-122.395225723073)"
"Tuesday","9AM","10AM","175 BARNEVELD AVE","Cold Truck: Hot & Cold Sandwiches, Bagels, Burritos, Soups, Hot Dogs, Tacos, Pork Buns, BBQ Meat, Fruit, Various Beverages, Pasties, Pre-Packaged Snacks, Candy, Salads, Muffins, Scones, Brownies, Croissants, Energy Bars, Noodle Bowls","Y","Two G's Catering","(37.7453520187473,-122.402789774322)"
"Tuesday","9AM","10AM","350 KANSAS ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7653536432638,-122.40365294813)"
"Tuesday","9AM","10AM","640 TENNESSEE ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.7637290705316,-122.389871672284)"
"Tuesday","9AM","10AM","722 BRANNAN ST","Cold Truck: Soft drinks, cup cakes, potato chips, cookies, gum, sandwiches (hot & cold), peanuts, muffins, coff (hot & cold), water, juice, yoplait, milk, orange juice, sunflower seeds, can foods, burritos, buscuits, chimichangas, rice krispies","Y","Quan Catering","(37.7744110410018,-122.401582774174)"
"Tuesday","9AM","10AM","1750 FOLSOM ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.7690273253983,-122.415681626119)"
"Tuesday","9AM","10AM","600 16TH ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7668538737285,-122.390858284639)"
"Tuesday","12PM","1PM","600 16TH ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7668538737285,-122.390858284639)"
"Tuesday","9AM","10AM","3756 JACKSON ST","Cold Truck: Pre-packaged sandwiches, Chicken Bake, Canned Soup, Chili Dog, Corn Dog, Cup of Noodles, Egg Muffins, Hamburgers, Cheeseburgers, Hot Dog, Hot sandwiches, quesadillas, Beverages, Flan, Fruits, Yogurt, Candy, Cookies, Chips, Donuts, Snacks","Y","D & T Catering","(37.789705500958,-122.456713643019)"
"Tuesday","9PM","10PM","1140 HARRISON ST","Cold Truck: sandwiches, corndogs, tacos, yogurt, snacks, candy, hot and cold drinks","Y","M M Catering","(37.7747758874698,-122.407328371042)"
"Tuesday","9AM","10AM","2920 03RD ST","Cold Truck: Soft drinks, cup cakes, potato chips, cookies, gum, sandwiches (hot & cold), peanuts, muffins, coff (hot & cold), water, juice, yoplait, milk, orange juice, sunflower seeds, can foods, burritos, buscuits, chimichangas, rice krispies","Y","Quan Catering","(37.7525527576463,-122.387867927348)"
"Tuesday","9AM","10AM","645 BRYANT ST","Cold Truck: Soft drinks, cup cakes, potato chips, cookies, gum, sandwiches (hot & cold), peanuts, muffins, coff (hot & cold), water, juice, yoplait, milk, orange juice, sunflower seeds, can foods, burritos, buscuits, chimichangas, rice krispies","Y","Quan Catering","(37.7787288086546,-122.399022720471)"
"Tuesday","9AM","10AM","1900 03RD ST","Cold Truck: Soda,Chips,Candy, Cold/Hot Sandwiches, Donuts.  (Pitco Wholesale)","Y","John's Catering #5","(37.7655925448088,-122.389099860237)"
"Tuesday","12PM","1PM","555 MISSOURI ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7592948961276,-122.39611224788)"
"Tuesday","7AM","8AM","400 ALABAMA ST","Cold Truck: sandwiches, corndogs, tacos, yogurt, snacks, candy, hot and cold drinks","Y","M M Catering","(37.7641509499715,-122.412358791534)"
"Tuesday","9AM","10AM","400 ALABAMA ST","Cold Truck: sandwiches, corndogs, tacos, yogurt, snacks, candy, hot and cold drinks","Y","M M Catering","(37.7641509499715,-122.412358791534)"
"Thursday","11AM","2PM","Assessors Block 4058/Lot010","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7611829945051,-122.388118704077)"
"Thursday","1PM","2PM","Assessors Block 4058/Lot010","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7611829945051,-122.388118704077)"
"Thursday","9AM","12PM","Assessors Block 4058/Lot010","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7611829945051,-122.388118704077)"
"Thursday","10AM","11AM","Assessors Block 4058/Lot010","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7611829945051,-122.388118704077)"
"Thursday","1PM","2PM","Assessors Block 4058/Lot010","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7611829945051,-122.388118704077)"
"Thursday","7AM","8AM","860 BROADWAY","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks","Y","Mike's Catering","(37.7973946460656,-122.411309805654)"
"Thursday","11AM","12PM","Assessors Block 4645/Lot015","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7321349519222,-122.375398078567)"
"Thursday","6AM","12AM","701 HOWARD ST","Hot dogs, condiments, soft pretzels, soft drinks, coffee, cold beverages, pastries, bakery goods, cookies, ice cream, candy, soups, churros, chestnuts, nuts, fresh fruit, fruit juices, desserts, potato chips and popcorn.","N","San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs","(37.7849382299627,-122.400486828595)"
"Thursday","10PM","12AM","2367 MARKET ST","Hot dogs & various beverages","N","Teresa Hotdogs","(37.7630427472863,-122.434353042649)"
"Thursday","5PM","9PM","2664 MISSION ST","Hot dogs, chips, soda, corn on the cob, french fries","N","Sinthya's Hot Dogs","(37.7544023207176,-122.418717635916)"
"Thursday","9AM","4PM","551 03RD ST","Tacos, Burritos, Tortas, Quesadillas, Salads, Soup, Fruits, Juices, Soda, Water","N","Tacos El Ojo De Agua","(37.7807288812268,-122.395002864462)"
